"wave","happy","health","life","gTrust","finance","nTrust","income","edu","edu_c","country"
2,"3","3","5","2","4",NA,"no_answer",NA,NA,"Argentina"
2,"2","3","5","2","4",NA,"2",NA,NA,"Argentina"
2,"1",NA,"9","2","5",NA,"3",NA,NA,"Argentina"
2,"3","3","7","2","5",NA,"4",NA,NA,"Argentina"
2,"1","1","9","2","5",NA,"2",NA,NA,"Argentina"
2,"1","3","8","2","6",NA,"2",NA,NA,"Argentina"
2,NA,"3","6","2","5",NA,"3",NA,NA,"Argentina"
2,"2","2","5","2","4",NA,"2",NA,NA,"Argentina"
2,"1","1","10","2","7",NA,"3",NA,NA,"Argentina"
2,"1","2","9","2","7",NA,"2",NA,NA,"Argentina"
2,"2","3","8","2","4",NA,"4",NA,NA,"Argentina"
2,"2","2","7","1","6",NA,"4",NA,NA,"Argentina"
2,"3","2","5","1",NA,NA,"6",NA,NA,"Argentina"
2,"1","3","7","2","1",NA,"4",NA,NA,"Argentina"
2,"3","2","5",NA,"10",NA,"no_answer",NA,NA,"Argentina"
2,"2","2","6","2","5",NA,"4",NA,NA,"Argentina"
2,"2","3","10","2","2",NA,"4",NA,NA,"Argentina"
2,"3","4","7","2","1",NA,"3",NA,NA,"Argentina"
2,"1","1","7","1","5",NA,"8",NA,NA,"Argentina"
2,"2","2","10","1","4",NA,"8",NA,NA,"Argentina"
2,"2","1","8",NA,"7",NA,"no_answer",NA,NA,"Argentina"
2,"1","2","8","1","6",NA,"8",NA,NA,"Argentina"
2,"3","2","5","2","3",NA,"7",NA,NA,"Argentina"
2,"1","3","7",NA,"1",NA,"1",NA,NA,"Argentina"
2,"1","2","7","1","4",NA,"no_answer",NA,NA,"Argentina"
2,"2","3","5","2","3",NA,"7",NA,NA,"Argentina"
2,"1","1","10","1","8",NA,"no_answer",NA,NA,"Argentina"
2,"2","2","10","2","6",NA,"7",NA,NA,"Argentina"
2,"1","2","8","1","8",NA,"6",NA,NA,"Argentina"
2,"1","2","7","1","8",NA,"4",NA,NA,"Argentina"
